Name,URL,Founder,Email,Industries,Last Funding Date,Score
Builder.ai,builder.ai,Sachin Dev Duggal,s••••••@builder.ai,AI,5/10/2023,96
Nothing,nothing.tech,Akis Evangelidis,a••••••@nothing.tech,"Hardware,Manufacturing",4/5/2022,100
Clara,clara.com,Diego Iván Garcia Escobedo,d••••••@clara.com,"Fintech,Enterprise Software,Payments,Business Intelligence,Ecommerce,Legal Tech",4/27/2023,93
Truecaller,truecaller.com,Alan Mamedi,a••••••@truecaller.com,Productivity,4/28/2021,82
Stability AI,stability.ai,Emad Mostaque,e••••••@stability.ai,"AI,Art",10/12/2022,100
TerraScale,terrascale.org,Danny Hayes,d••••••@terrascale.org,"Data and Analytics,Proptech & Real Estate,Energy & Nuclear,Climate Tech & Green Tech,Communications,Business Intelligence",1/13/2023,89
TerraPay,terrapay.com,Akbar Hussain,a••••••@terrapay.com,Payments,5/10/2023,85
Octopus Energy,octopus.energy,Greg Jackson,g••••••@octopus.energy,"Energy & Nuclear,Climate Tech & Green Tech,Manufacturing",7/26/2022,90
Arloid Automation,arloid.com,Max Zubov,m••••••@arloid.com,AI,1/1/2022,90
m3ter,m3ter.com,Griffin Parry,g••••••@m3ter.com,Sales and Marketing,4/27/2023,66
Coro,coro.net,Carmel Domshlak,c••••••@coro.net,Cybersecurity,4/27/2023,98
Pando,pando.ai,Abhijeet Manohar,a••••••@pando.ai,"Consumer Social,Enterprise Software,Supply Chain & Logistics,Mobile,Mobility & Transportation,Health Tech",5/3/2023,100
Clue,helloclue.com,Hans Raffauf,h••••••@helloclue.com,Health Tech,5/5/2023,77
Wingcopter,wingcopter.com,Ansgar Kadura,a••••••@wingcopter.com,"Drones,Supply Chain & Logistics",5/11/2023,99
Deliverect,deliverect.com,Jan Hollez,j••••••@deliverect.com,"Fintech,Foodtech,Mobile",1/24/2022,89
LimeWire,limewire.com,Julian Zehetmayr,j••••••@limewire.com,"Art,Crypto & web3,Music and Audio",5/16/2023,76
Infogrid,infogrid.io,William Cowell de Gruchy,w••••••@infogrid.io,Privacy and Security,4/11/2023,100
Omni,omni.co,Aaron Wiener,a••••••@omni.co,"Mobile,Ecommerce,Foodtech,Manufacturing",1/16/2018,95
Lilium,lilium.com,Daniel Wiegand,d••••••@lilium.com,"Space Tech,Mobility & Transportation,Manufacturing",5/2/2023,89
Graphcore,graphcore.ai,Nigel Toon,n••••••@graphcore.ai,"AI,Machine Learning,Semiconductor,Manufacturing",12/29/2020,99
Fetch.AI,fetch.ai,Humayun Sheikh,h••••••@fetch.ai,Crypto & web3,4/28/2023,100